threshold,coverage,precision,n
0.5,1.0,0.6889027431421446,1604
0.55,0.8310473815461347,0.722430607651913,1333
0.6,0.6689526184538653,0.7427772600186393,1073
0.65,0.5554862842892768,0.7665544332210998,891
0.7,0.43453865336658354,0.7948350071736011,697
0.75,0.32980049875311723,0.8090737240075614,529
0.8,0.24002493765586036,0.8467532467532467,385
0.85,0.17206982543640897,0.894927536231884,276
0.8999999999999999,0.10785536159600997,0.9421965317919075,173
0.95,0.05112219451371571,0.9634146341463414,82
